Type,Dataset,Accuracy,Precision,Recall,F1
dirty,DBLP-ACM,0.48308004052684905,0.23665086887835704,0.8472850678733032,0.36996789330698937
dirty,iTunes-Amazon,0.3738532110091743,0.27019498607242337,0.8981481481481481,0.41541755888650966
dirty,Walmart-Amazon,0.6353874313605857,0.1855845629965948,0.8471502590673575,0.30446927374301674
structured,DBLP-ACM,0.43862138874809936,0.23282821130151538,0.9314447592067989,0.3725356900067981
structured,iTunes-Amazon,0.4036697247706422,0.27380952380952384,0.8518518518518519,0.4144144144144144
structured,Walmart-Amazon,0.5659548505186089,0.1677403960868528,0.9106217616580311,0.28329639331049766
structured,Beer,0.7087912087912088,0.34375,0.9821428571428571,0.5092592592592593
structured,Fodors-Zagats,0.7486772486772487,0.29435483870967744,0.8295454545454546,0.43452380952380953
structured,Amazon-Google,0.6794634093139928,0.20308330862733473,0.7318376068376068,0.3179391970294732
textual,Abt-Buy,0.7160767924774716,0.2603760198652004,0.8918590522478737,0.4030752333882482
