Type,Dataset,Domain Complex,Domain Simple,General Simple,General Complex
dirty,DBLP-ACM,0.5123500352858151,0.3342293906810036,0.3062665489849956,0.38021071919377003
dirty,iTunes-Amazon,0.45454545454545453,0.4423076923076923,0.3728813559322034,0.4
dirty,Walmart-Amazon,0.3763213530655391,0.3963011889035667,0.2098273572377158,0.3091076356945722
structured,DBLP-ACM,0.56884561891516,0.33014553014553016,0.32368107893692977,0.34930950446791226
structured,iTunes-Amazon,0.5274725274725275,0.44,0.3305785123966942,0.3939393939393939
structured,Walmart-Amazon,0.3589232303090728,0.43832020997375326,0.19787590832867524,0.2540809084457062
structured,Beer,0.9032258064516129,0.33766233766233766,0.37333333333333335,0.8484848484848485
structured,Fodors-Zagats,0.8163265306122449,0.3883495145631068,0.2097902097902098,0.8780487804878049
structured,Amazon-Google,0.27946127946127947,0.3831672203765227,0.2644628099173554,0.3833145434047351
textual,Abt-Buy,0.41081081081081083,0.5709779179810726,0.3064516129032258,0.39710444674250256
